Age,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
14,0.000453,0.000464,0.000484,0.000408,0.000411,0.000386,0.000365,0.000374,0.000341,0.000285,0.000382,0.000362,0.000373,0.000299,0.000343,0.000285,0.000236,0.000343,0.000288,0.000293,0.000274,0.000291,0.000258,0.00023,0.000259,0.000249,0.000208,0.000248,0.000227,0.000255,0.000195,0.000234,0.000223,0.000251,0.000222,0.000199,0.000215,0.000234,0.000218,0.000235,0.000158,0.000187,0.000142
15,0.000573,0.000463,0.000485,0.000437,0.00042,0.000374,0.000363,0.000401,0.000426,0.00038,0.000385,0.000388,0.000328,0.000377,0.000331,0.000383,0.000381,0.000373,0.000349,0.000305,0.000319,0.00034,0.000315,0.000263,0.000366,0.000378,0.000322,0.000256,0.000245,0.000276,0.00023,0.000306,0.000298,0.000302,0.000255,0.000248,0.00027,0.000313,0.000281,0.000277,0.000271,0.000244,0.000218
16,0.000626,0.000616,0.000474,0.000464,0.000425,0.000451,0.000467,0.000381,0.000439,0.00036,0.000395,0.000427,0.000415,0.000441,0.000288,0.000391,0.000363,0.000373,0.000394,0.000341,0.000331,0.000389,0.000354,0.000355,0.00034,0.00035,0.000325,0.000298,0.000252,0.000284,0.00029,0.000297,0.000359,0.000292,0.000309,0.000359,0.000333,0.000347,0.000304,0.000295,0.000244,0.00034,0.00028
17,0.000583,0.000595,0.000503,0.000601,0.000491,0.000535,0.000462,0.00042,0.000473,0.000437,0.000403,0.000411,0.000442,0.000457,0.00044,0.000439,0.00038,0.000427,0.000421,0.000409,0.000456,0.00043,0.000353,0.000347,0.000363,0.000372,0.000371,0.000333,0.000359,0.000276,0.000404,0.000402,0.000344,0.000409,0.00036,0.000353,0.000373,0.000315,0.000332,0.000349,0.00033,0.000266,0.000331
18,0.000781,0.00076,0.00059,0.000574,0.000634,0.000569,0.000544,0.000456,0.000472,0.000468,0.000432,0.000507,0.000468,0.000517,0.000526,0.00047,0.000452,0.000461,0.000436,0.000448,0.000466,0.000451,0.000354,0.000443,0.000405,0.000502,0.000365,0.000375,0.000437,0.00038,0.000332,0.000335,0.000396,0.000428,0.000379,0.000324,0.000416,0.000319,0.000358,0.000368,0.00035,0.000331,0.000331
19,0.000843,0.0008,0.000706,0.00069,0.000714,0.000609,0.000528,0.000523,0.000508,0.000614,0.000508,0.000617,0.000484,0.000555,0.000509,0.000477,0.000451,0.000451,0.000448,0.000493,0.000453,0.000462,0.000433,0.000423,0.000514,0.000367,0.000431,0.000385,0.000359,0.000355,0.000364,0.000352,0.000332,0.000454,0.000426,0.000461,0.000397,0.000358,0.000339,0.000339,0.00035,0.000373,0.000287
20,0.000903,0.000875,0.000767,0.00078,0.000707,0.000668,0.000663,0.000638,0.000563,0.000513,0.000594,0.000552,0.000564,0.000467,0.000541,0.000474,0.000505,0.000418,0.000451,0.00049,0.000461,0.000468,0.000422,0.000403,0.000395,0.000444,0.000344,0.0004,0.000345,0.000364,0.000343,0.000423,0.000345,0.000411,0.000396,0.000335,0.000354,0.00034,0.000293,0.000308,0.000308,0.000313,0.000327
21,0.000953,0.00082,0.000727,0.000844,0.000791,0.00064,0.000642,0.000696,0.000643,0.00056,0.000644,0.00051,0.000574,0.000524,0.000498,0.000516,0.000481,0.00051,0.000459,0.000497,0.000492,0.000474,0.000451,0.000508,0.000424,0.000476,0.000348,0.000329,0.000408,0.000394,0.000368,0.000445,0.000403,0.000406,0.000432,0.000357,0.000358,0.000327,0.000365,0.000285,0.000351,0.000335,0.000314
22,0.000909,0.00098,0.000798,0.000778,0.000859,0.000694,0.000673,0.000681,0.000569,0.00053,0.00064,0.000556,0.000563,0.000495,0.000534,0.000466,0.000481,0.000504,0.000475,0.000412,0.000507,0.000492,0.000542,0.000449,0.000446,0.000484,0.000429,0.000426,0.000449,0.000401,0.000329,0.000482,0.000386,0.000411,0.000366,0.000355,0.000411,0.000338,0.000279,0.000377,0.000349,0.000375,0.000293
23,0.001044,0.00098,0.000856,0.000771,0.00076,0.000723,0.000621,0.000548,0.000633,0.00065,0.000551,0.000575,0.00055,0.000532,0.000509,0.000449,0.000483,0.000606,0.000489,0.000495,0.000528,0.000509,0.000476,0.000464,0.000506,0.000457,0.000467,0.000451,0.000375,0.000346,0.000372,0.000348,0.000385,0.000373,0.000403,0.0004,0.000278,0.000375,0.000362,0.000294,0.000344,0.00034,0.00032
24,0.001149,0.001031,0.000985,0.000817,0.000841,0.000803,0.000752,0.000651,0.00067,0.000634,0.000715,0.00062,0.000642,0.000652,0.000536,0.000579,0.000421,0.00054,0.000509,0.000587,0.000523,0.000533,0.000489,0.000477,0.00054,0.000488,0.000471,0.000433,0.000401,0.000405,0.000406,0.000468,0.000378,0.00042,0.000323,0.000374,0.000364,0.000354,0.000357,0.000371,0.000384,0.000369,0.000307
25,0.001193,0.001074,0.000926,0.000889,0.000961,0.000897,0.000789,0.000804,0.000607,0.000623,0.00063,0.000647,0.000678,0.000497,0.000586,0.00052,0.00055,0.00049,0.000536,0.000648,0.000546,0.000559,0.000554,0.00054,0.000537,0.000529,0.000457,0.000555,0.000493,0.00046,0.000464,0.000372,0.000388,0.00042,0.00039,0.000315,0.000345,0.000393,0.000375,0.000286,0.000321,0.00034,0.000353
26,0.001165,0.001189,0.001012,0.000892,0.000777,0.000909,0.000732,0.00071,0.00063,0.000613,0.000582,0.000588,0.000713,0.00079,0.000529,0.000658,0.00049,0.000608,0.000568,0.000521,0.000616,0.000579,0.000498,0.000555,0.000556,0.000463,0.000506,0.000509,0.000516,0.000466,0.000427,0.000425,0.000498,0.000457,0.000429,0.000429,0.000404,0.000333,0.000357,0.000404,0.000349,0.000445,0.000319
27,0.001251,0.001144,0.001173,0.001072,0.001008,0.000893,0.000771,0.000848,0.000785,0.000616,0.000708,0.000646,0.000671,0.000715,0.000656,0.000638,0.000574,0.000654,0.000585,0.00057,0.000644,0.0006,0.000554,0.000568,0.000597,0.000598,0.000647,0.000534,0.000468,0.000477,0.000484,0.000501,0.000484,0.00046,0.000479,0.000376,0.000523,0.000413,0.000375,0.000436,0.000425,0.00035,0.000399
28,0.001308,0.001263,0.001208,0.001079,0.001168,0.000913,0.000916,0.000871,0.000779,0.000837,0.000664,0.000773,0.000594,0.000782,0.000635,0.000621,0.000617,0.000639,0.000595,0.000693,0.000665,0.000627,0.000579,0.000619,0.000569,0.000536,0.000617,0.000591,0.00059,0.000596,0.000494,0.000544,0.000513,0.000527,0.000548,0.000516,0.000456,0.000541,0.000439,0.000435,0.000449,0.000435,0.000402
29,0.001338,0.001407,0.001167,0.001076,0.001252,0.001027,0.000927,0.00082,0.000867,0.000729,0.000791,0.000845,0.00063,0.000712,0.000635,0.000706,0.000718,0.00065,0.000615,0.000733,0.000718,0.000663,0.000703,0.000687,0.000626,0.000682,0.000665,0.000624,0.000577,0.000649,0.000571,0.000571,0.000545,0.000627,0.000517,0.000423,0.000469,0.000507,0.000464,0.000444,0.000372,0.000446,0.000476
30,0.00155,0.001339,0.001254,0.001271,0.001057,0.001142,0.00093,0.000946,0.000958,0.00094,0.000781,0.00074,0.000732,0.000815,0.000781,0.000784,0.00067,0.000736,0.000693,0.000725,0.000706,0.000692,0.000716,0.000732,0.000734,0.000748,0.00071,0.000598,0.000667,0.000696,0.000679,0.000674,0.000656,0.000653,0.000591,0.000546,0.000567,0.000494,0.000528,0.000469,0.00047,0.000482,0.000401
31,0.001346,0.001337,0.001261,0.001236,0.001212,0.001093,0.001113,0.001035,0.00097,0.000884,0.000824,0.000823,0.000834,0.000961,0.000836,0.000825,0.000752,0.00091,0.0008,0.00093,0.000753,0.000727,0.00075,0.000698,0.000771,0.000742,0.000847,0.000714,0.000653,0.000797,0.000667,0.000741,0.000729,0.000687,0.000576,0.00066,0.00059,0.000528,0.000503,0.000575,0.000521,0.000492,0.00047
32,0.001482,0.001517,0.00124,0.001313,0.001402,0.001342,0.001159,0.001041,0.001027,0.000846,0.000859,0.00088,0.000894,0.000905,0.000862,0.000908,0.000736,0.000786,0.000837,0.000853,0.000955,0.00079,0.000902,0.000832,0.000833,0.00076,0.000869,0.000687,0.000752,0.000744,0.000777,0.000752,0.000761,0.000772,0.000725,0.000599,0.000662,0.000677,0.000657,0.000566,0.000576,0.000569,0.000557
33,0.001469,0.001697,0.001528,0.001431,0.001476,0.001259,0.001037,0.001217,0.001123,0.001038,0.001044,0.000972,0.001076,0.001025,0.000972,0.00094,0.000855,0.000956,0.000908,0.001001,0.000931,0.000948,0.000912,0.000759,0.000924,0.000949,0.000871,0.000818,0.000819,0.000879,0.000796,0.000834,0.000748,0.000937,0.000805,0.000777,0.000787,0.000777,0.000624,0.000631,0.000572,0.000577,0.000612
