Age,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10,0.000642,0.000670,0.000557,0.000607,0.000598,0.000526,0.000478,0.000396,0.000481,0.000439,0.000449,0.000371,0.000451,0.000435,0.000417,0.000445,0.000376,0.000445,0.000303,0.000434,0.000375,0.000392,0.000460,0.000373,0.000405,0.000366,0.000335,0.000363,0.000349,0.000279,0.000308,0.000338,0.000322,0.000315,0.000334,0.000314,0.000258,0.000236,0.000247,0.000240,0.000230,0.000255,0.000208,0.000182,0.000218,0.000216,0.000147,0.000196,0.000172,0.000181,0.000142,0.000161,0.000123,0.000141,0.000141,0.000122,0.000115,0.000107,0.000099,0.000109,0.000103
11,0.000615,0.000694,0.000577,0.000540,0.000550,0.000491,0.000484,0.000462,0.000396,0.000470,0.000454,0.000397,0.000400,0.000472,0.000369,0.000406,0.000335,0.000445,0.000304,0.000353,0.000352,0.000394,0.000342,0.000453,0.000358,0.000409,0.000339,0.000365,0.000283,0.000328,0.000263,0.000356,0.000252,0.000312,0.000319,0.000223,0.000275,0.000250,0.000210,0.000237,0.000233,0.000219,0.000209,0.000207,0.000211,0.000199,0.000193,0.000147,0.000218,0.000194,0.000098,0.000122,0.000167,0.000123,0.000099,0.000119,0.000083,0.000132,0.000118,0.000089,0.000119
12,0.000575,0.000671,0.000587,0.000599,0.000565,0.000563,0.000462,0.000369,0.000418,0.000459,0.000438,0.000391,0.000403,0.000459,0.000445,0.000395,0.000374,0.000387,0.000351,0.000371,0.000438,0.000424,0.000412,0.000385,0.000354,0.000392,0.000313,0.000339,0.000356,0.000328,0.000240,0.000333,0.000360,0.000340,0.000304,0.000281,0.000250,0.000253,0.000250,0.000254,0.000222,0.000230,0.000188,0.000235,0.000218,0.000197,0.000192,0.000146,0.000200,0.000192,0.000195,0.000177,0.000147,0.000116,0.000113,0.000173,0.000092,0.000172,0.000143,0.000113,0.000131
13,0.000666,0.000685,0.000562,0.000657,0.000588,0.000585,0.000529,0.000448,0.000462,0.000505,0.000443,0.000395,0.000466,0.000468,0.000424,0.000469,0.000365,0.000395,0.000446,0.000423,0.000393,0.000478,0.000381,0.000491,0.000440,0.000397,0.000422,0.000385,0.000360,0.000299,0.000380,0.000343,0.000359,0.000365,0.000332,0.000263,0.000267,0.000386,0.000293,0.000279,0.000268,0.000250,0.000256,0.000240,0.000267,0.000239,0.000222,0.000226,0.000248,0.000274,0.000231,0.000150,0.000168,0.000196,0.000192,0.000231,0.000121,0.000212,0.000117,0.000148,0.000161
14,0.000843,0.000797,0.000728,0.000729,0.000688,0.000732,0.000562,0.000544,0.000523,0.000536,0.000489,0.000527,0.000615,0.000512,0.000562,0.000442,0.000448,0.000518,0.000584,0.000438,0.000477,0.000558,0.000443,0.000507,0.000503,0.000445,0.000481,0.000389,0.000513,0.000395,0.000379,0.000405,0.000462,0.000489,0.000412,0.000379,0.000447,0.000358,0.000374,0.000364,0.000367,0.000367,0.000306,0.000252,0.000348,0.000271,0.000275,0.000308,0.000279,0.000280,0.000274,0.000319,0.000268,0.000233,0.000240,0.000197,0.000231,0.000173,0.000190,0.000161,0.000242
15,0.000858,0.000885,0.000828,0.000729,0.000827,0.000838,0.000693,0.000661,0.000688,0.000772,0.000613,0.000675,0.000597,0.000641,0.000591,0.000600,0.000539,0.000639,0.000736,0.000568,0.000599,0.000657,0.000582,0.000675,0.000590,0.000681,0.000531,0.000558,0.000556,0.000539,0.000528,0.000551,0.000551,0.000613,0.000546,0.000525,0.000548,0.000545,0.000497,0.000408,0.000522,0.000447,0.000384,0.000409,0.000334,0.000331,0.000420,0.000388,0.000376,0.000370,0.000293,0.000405,0.000315,0.000349,0.000275,0.000284,0.000187,0.000283,0.000268,0.000218,0.000272
16,0.001006,0.001047,0.000937,0.000819,0.000944,0.000800,0.000784,0.000723,0.000821,0.000765,0.000813,0.000682,0.000730,0.000798,0.000754,0.000716,0.000604,0.000789,0.000875,0.000694,0.000729,0.000791,0.000629,0.000854,0.000695,0.000823,0.000713,0.000610,0.000712,0.000609,0.000691,0.000695,0.000669,0.000701,0.000818,0.000737,0.000635,0.000684,0.000589,0.000644,0.000675,0.000702,0.000496,0.000524,0.000509,0.000440,0.000389,0.000480,0.000498,0.000542,0.000541,0.000431,0.000516,0.000446,0.000463,0.000466,0.000348,0.000385,0.000314,0.000320,0.000348
17,0.001174,0.001389,0.001022,0.001115,0.001109,0.001165,0.000959,0.000901,0.000983,0.000967,0.000981,0.001007,0.000939,0.000980,0.000886,0.000931,0.000813,0.000945,0.001007,0.000942,0.000861,0.000962,0.000962,0.000957,0.001040,0.001029,0.000915,0.000844,0.000892,0.000789,0.000737,0.000980,0.001143,0.000921,0.001043,0.000891,0.001029,0.000803,0.000908,0.000913,0.000876,0.000786,0.000826,0.000675,0.000700,0.000631,0.000609,0.000638,0.000627,0.000666,0.000604,0.000670,0.000618,0.000570,0.000547,0.000568,0.000546,0.000422,0.000446,0.000365,0.000415
18,0.001458,0.001365,0.001366,0.001551,0.001294,0.001264,0.001141,0.001118,0.001310,0.001126,0.001259,0.001277,0.001273,0.001317,0.001343,0.001235,0.001157,0.001210,0.001149,0.001255,0.001233,0.001134,0.001273,0.001382,0.001205,0.001299,0.001115,0.001233,0.001260,0.001192,0.001162,0.001394,0.001368,0.001437,0.001272,0.001164,0.001264,0.001227,0.001009,0.001139,0.001102,0.001114,0.000949,0.000874,0.001077,0.000876,0.000790,0.000895,0.000860,0.000928,0.001017,0.001002,0.000800,0.000876,0.000948,0.000934,0.000737,0.000701,0.000659,0.000614,0.000659
19,0.001748,0.001886,0.001644,0.001547,0.001819,0.001799,0.001332,0.001319,0.001376,0.001463,0.001555,0.001476,0.001481,0.001590,0.001514,0.001592,0.001402,0.001494,0.001318,0.001532,0.001473,0.001312,0.001630,0.001550,0.001417,0.001433,0.001395,0.001292,0.001263,0.001413,0.001410,0.001519,0.001438,0.001493,0.001453,0.001296,0.001411,0.001387,0.001276,0.001425,0.001271,0.001300,0.001063,0.001013,0.001053,0.000903,0.000869,0.001002,0.000931,0.001060,0.001132,0.001026,0.000957,0.000888,0.000945,0.000966,0.000954,0.000918,0.000727,0.000828,0.000733
