Age,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
17,0.000583,0.000595,0.000503,0.000601,0.000491,0.000535,0.000462,0.000420,0.000473,0.000437,0.000403,0.000411,0.000442,0.000457,0.000440,0.000439,0.000380,0.000427,0.000421,0.000409,0.000456,0.000430,0.000353,0.000347,0.000363,0.000372,0.000371,0.000333,0.000359,0.000276,0.000404,0.000402,0.000344,0.000409,0.000360,0.000353,0.000373,0.000315,0.000332,0.000349,0.000330,0.000266,0.000331,0.000308,0.000292,0.000292,0.000268,0.000204,0.000230,0.000230,0.000283,0.000265,0.000219,0.000192,0.000164,0.000281,0.000255,0.000171,0.000203,0.000189,0.000243
18,0.000781,0.000760,0.000590,0.000574,0.000634,0.000569,0.000544,0.000456,0.000472,0.000468,0.000432,0.000507,0.000468,0.000517,0.000526,0.000470,0.000452,0.000461,0.000436,0.000448,0.000466,0.000451,0.000354,0.000443,0.000405,0.000502,0.000365,0.000375,0.000437,0.000380,0.000332,0.000335,0.000396,0.000428,0.000379,0.000324,0.000416,0.000319,0.000358,0.000368,0.000350,0.000331,0.000331,0.000287,0.000360,0.000320,0.000298,0.000272,0.000274,0.000299,0.000304,0.000275,0.000246,0.000253,0.000291,0.000274,0.000272,0.000226,0.000259,0.000272,0.000276
19,0.000843,0.000800,0.000706,0.000690,0.000714,0.000609,0.000528,0.000523,0.000508,0.000614,0.000508,0.000617,0.000484,0.000555,0.000509,0.000477,0.000451,0.000451,0.000448,0.000493,0.000453,0.000462,0.000433,0.000423,0.000514,0.000367,0.000431,0.000385,0.000359,0.000355,0.000364,0.000352,0.000332,0.000454,0.000426,0.000461,0.000397,0.000358,0.000339,0.000339,0.000350,0.000373,0.000287,0.000298,0.000261,0.000303,0.000238,0.000321,0.000248,0.000285,0.000278,0.000271,0.000208,0.000285,0.000269,0.000222,0.000242,0.000305,0.000241,0.000279,0.000315
20,0.000903,0.000875,0.000767,0.000780,0.000707,0.000668,0.000663,0.000638,0.000563,0.000513,0.000594,0.000552,0.000564,0.000467,0.000541,0.000474,0.000505,0.000418,0.000451,0.000490,0.000461,0.000468,0.000422,0.000403,0.000395,0.000444,0.000344,0.000400,0.000345,0.000364,0.000343,0.000423,0.000345,0.000411,0.000396,0.000335,0.000354,0.000340,0.000293,0.000308,0.000308,0.000313,0.000327,0.000305,0.000311,0.000333,0.000297,0.000247,0.000237,0.000286,0.000296,0.000234,0.000249,0.000249,0.000214,0.000232,0.000265,0.000206,0.000196,0.000241,0.000248
21,0.000953,0.000820,0.000727,0.000844,0.000791,0.000640,0.000642,0.000696,0.000643,0.000560,0.000644,0.000510,0.000574,0.000524,0.000498,0.000516,0.000481,0.000510,0.000459,0.000497,0.000492,0.000474,0.000451,0.000508,0.000424,0.000476,0.000348,0.000329,0.000408,0.000394,0.000368,0.000445,0.000403,0.000406,0.000432,0.000357,0.000358,0.000327,0.000365,0.000285,0.000351,0.000335,0.000314,0.000234,0.000277,0.000218,0.000321,0.000280,0.000260,0.000296,0.000207,0.000237,0.000245,0.000238,0.000227,0.000242,0.000245,0.000219,0.000165,0.000253,0.000310
22,0.000909,0.000980,0.000798,0.000778,0.000859,0.000694,0.000673,0.000681,0.000569,0.000530,0.000640,0.000556,0.000563,0.000495,0.000534,0.000466,0.000481,0.000504,0.000475,0.000412,0.000507,0.000492,0.000542,0.000449,0.000446,0.000484,0.000429,0.000426,0.000449,0.000401,0.000329,0.000482,0.000386,0.000411,0.000366,0.000355,0.000411,0.000338,0.000279,0.000377,0.000349,0.000375,0.000293,0.000258,0.000238,0.000302,0.000243,0.000277,0.000274,0.000251,0.000264,0.000266,0.000187,0.000216,0.000220,0.000208,0.000238,0.000257,0.000206,0.000224,0.000215
23,0.001044,0.000980,0.000856,0.000771,0.000760,0.000723,0.000621,0.000548,0.000633,0.000650,0.000551,0.000575,0.000550,0.000532,0.000509,0.000449,0.000483,0.000606,0.000489,0.000495,0.000528,0.000509,0.000476,0.000464,0.000506,0.000457,0.000467,0.000451,0.000375,0.000346,0.000372,0.000348,0.000385,0.000373,0.000403,0.000400,0.000278,0.000375,0.000362,0.000294,0.000344,0.000340,0.000320,0.000295,0.000312,0.000335,0.000233,0.000234,0.000280,0.000262,0.000245,0.000258,0.000215,0.000251,0.000234,0.000227,0.000253,0.000242,0.000241,0.000232,0.000215
24,0.001149,0.001031,0.000985,0.000817,0.000841,0.000803,0.000752,0.000651,0.000670,0.000634,0.000715,0.000620,0.000642,0.000652,0.000536,0.000579,0.000421,0.000540,0.000509,0.000587,0.000523,0.000533,0.000489,0.000477,0.000540,0.000488,0.000471,0.000433,0.000401,0.000405,0.000406,0.000468,0.000378,0.000420,0.000323,0.000374,0.000364,0.000354,0.000357,0.000371,0.000384,0.000369,0.000307,0.000322,0.000315,0.000249,0.000292,0.000227,0.000256,0.000275,0.000260,0.000301,0.000232,0.000215,0.000255,0.000187,0.000246,0.000212,0.000251,0.000237,0.000253
25,0.001193,0.001074,0.000926,0.000889,0.000961,0.000897,0.000789,0.000804,0.000607,0.000623,0.000630,0.000647,0.000678,0.000497,0.000586,0.000520,0.000550,0.000490,0.000536,0.000648,0.000546,0.000559,0.000554,0.000540,0.000537,0.000529,0.000457,0.000555,0.000493,0.000460,0.000464,0.000372,0.000388,0.000420,0.000390,0.000315,0.000345,0.000393,0.000375,0.000286,0.000321,0.000340,0.000353,0.000287,0.000273,0.000361,0.000259,0.000273,0.000237,0.000288,0.000284,0.000203,0.000212,0.000239,0.000211,0.000262,0.000242,0.000209,0.000258,0.000235,0.000249
26,0.001165,0.001189,0.001012,0.000892,0.000777,0.000909,0.000732,0.000710,0.000630,0.000613,0.000582,0.000588,0.000713,0.000790,0.000529,0.000658,0.000490,0.000608,0.000568,0.000521,0.000616,0.000579,0.000498,0.000555,0.000556,0.000463,0.000506,0.000509,0.000516,0.000466,0.000427,0.000425,0.000498,0.000457,0.000429,0.000429,0.000404,0.000333,0.000357,0.000404,0.000349,0.000445,0.000319,0.000332,0.000258,0.000267,0.000273,0.000282,0.000261,0.000291,0.000311,0.000303,0.000266,0.000227,0.000196,0.000243,0.000283,0.000165,0.000265,0.000231,0.000223
27,0.001251,0.001144,0.001173,0.001072,0.001008,0.000893,0.000771,0.000848,0.000785,0.000616,0.000708,0.000646,0.000671,0.000715,0.000656,0.000638,0.000574,0.000654,0.000585,0.000570,0.000644,0.000600,0.000554,0.000568,0.000597,0.000598,0.000647,0.000534,0.000468,0.000477,0.000484,0.000501,0.000484,0.000460,0.000479,0.000376,0.000523,0.000413,0.000375,0.000436,0.000425,0.000350,0.000399,0.000316,0.000308,0.000304,0.000343,0.000277,0.000317,0.000350,0.000273,0.000258,0.000285,0.000257,0.000200,0.000249,0.000226,0.000252,0.000206,0.000265,0.000341
28,0.001308,0.001263,0.001208,0.001079,0.001168,0.000913,0.000916,0.000871,0.000779,0.000837,0.000664,0.000773,0.000594,0.000782,0.000635,0.000621,0.000617,0.000639,0.000595,0.000693,0.000665,0.000627,0.000579,0.000619,0.000569,0.000536,0.000617,0.000591,0.000590,0.000596,0.000494,0.000544,0.000513,0.000527,0.000548,0.000516,0.000456,0.000541,0.000439,0.000435,0.000449,0.000435,0.000402,0.000435,0.000345,0.000329,0.000338,0.000327,0.000251,0.000328,0.000288,0.000381,0.000252,0.000343,0.000324,0.000256,0.000305,0.000243,0.000284,0.000291,0.000269
29,0.001338,0.001407,0.001167,0.001076,0.001252,0.001027,0.000927,0.000820,0.000867,0.000729,0.000791,0.000845,0.000630,0.000712,0.000635,0.000706,0.000718,0.000650,0.000615,0.000733,0.000718,0.000663,0.000703,0.000687,0.000626,0.000682,0.000665,0.000624,0.000577,0.000649,0.000571,0.000571,0.000545,0.000627,0.000517,0.000423,0.000469,0.000507,0.000464,0.000444,0.000372,0.000446,0.000476,0.000413,0.000370,0.000410,0.000350,0.000374,0.000376,0.000350,0.000428,0.000342,0.000321,0.000331,0.000331,0.000310,0.000272,0.000286,0.000327,0.000305,0.000272
30,0.001550,0.001339,0.001254,0.001271,0.001057,0.001142,0.000930,0.000946,0.000958,0.000940,0.000781,0.000740,0.000732,0.000815,0.000781,0.000784,0.000670,0.000736,0.000693,0.000725,0.000706,0.000692,0.000716,0.000732,0.000734,0.000748,0.000710,0.000598,0.000667,0.000696,0.000679,0.000674,0.000656,0.000653,0.000591,0.000546,0.000567,0.000494,0.000528,0.000469,0.000470,0.000482,0.000401,0.000420,0.000452,0.000425,0.000421,0.000375,0.000365,0.000393,0.000367,0.000416,0.000364,0.000290,0.000312,0.000338,0.000286,0.000290,0.000335,0.000341,0.000370
31,0.001346,0.001337,0.001261,0.001236,0.001212,0.001093,0.001113,0.001035,0.000970,0.000884,0.000824,0.000823,0.000834,0.000961,0.000836,0.000825,0.000752,0.000910,0.000800,0.000930,0.000753,0.000727,0.000750,0.000698,0.000771,0.000742,0.000847,0.000714,0.000653,0.000797,0.000667,0.000741,0.000729,0.000687,0.000576,0.000660,0.000590,0.000528,0.000503,0.000575,0.000521,0.000492,0.000470,0.000474,0.000480,0.000453,0.000415,0.000503,0.000393,0.000386,0.000352,0.000420,0.000320,0.000409,0.000363,0.000335,0.000353,0.000295,0.000340,0.000355,0.000335
32,0.001482,0.001517,0.001240,0.001313,0.001402,0.001342,0.001159,0.001041,0.001027,0.000846,0.000859,0.000880,0.000894,0.000905,0.000862,0.000908,0.000736,0.000786,0.000837,0.000853,0.000955,0.000790,0.000902,0.000832,0.000833,0.000760,0.000869,0.000687,0.000752,0.000744,0.000777,0.000752,0.000761,0.000772,0.000725,0.000599,0.000662,0.000677,0.000657,0.000566,0.000576,0.000569,0.000557,0.000528,0.000438,0.000429,0.000507,0.000400,0.000486,0.000473,0.000467,0.000464,0.000401,0.000368,0.000403,0.000393,0.000357,0.000351,0.000402,0.000371,0.000405
33,0.001469,0.001697,0.001528,0.001431,0.001476,0.001259,0.001037,0.001217,0.001123,0.001038,0.001044,0.000972,0.001076,0.001025,0.000972,0.000940,0.000855,0.000956,0.000908,0.001001,0.000931,0.000948,0.000912,0.000759,0.000924,0.000949,0.000871,0.000818,0.000819,0.000879,0.000796,0.000834,0.000748,0.000937,0.000805,0.000777,0.000787,0.000777,0.000624,0.000631,0.000572,0.000577,0.000612,0.000509,0.000546,0.000504,0.000441,0.000577,0.000498,0.000491,0.000429,0.000461,0.000372,0.000474,0.000424,0.000375,0.000365,0.000412,0.000421,0.000406,0.000338
34,0.001843,0.001781,0.001461,0.001334,0.001460,0.001375,0.001372,0.001298,0.001129,0.001098,0.001081,0.001140,0.000991,0.001128,0.000994,0.000902,0.001085,0.000892,0.000979,0.000904,0.001129,0.001119,0.001069,0.001046,0.000887,0.000933,0.001049,0.000930,0.000875,0.000898,0.000937,0.000916,0.000969,0.000982,0.000912,0.000947,0.000812,0.000814,0.000745,0.000704,0.000717,0.000672,0.000663,0.000525,0.000565,0.000559,0.000546,0.000573,0.000524,0.000584,0.000539,0.000512,0.000465,0.000419,0.000517,0.000428,0.000446,0.000420,0.000450,0.000431,0.000574
35,0.001861,0.001766,0.001582,0.001497,0.001521,0.001404,0.001407,0.001457,0.001288,0.001272,0.001119,0.001233,0.001218,0.001193,0.001093,0.001065,0.000988,0.000986,0.001042,0.001055,0.000977,0.001144,0.001070,0.001080,0.001083,0.000991,0.001091,0.001054,0.001033,0.001010,0.000973,0.001000,0.001088,0.001016,0.001019,0.000967,0.000974,0.000895,0.000845,0.000762,0.000804,0.000751,0.000674,0.000778,0.000687,0.000659,0.000623,0.000633,0.000630,0.000494,0.000600,0.000647,0.000610,0.000515,0.000495,0.000531,0.000448,0.000482,0.000520,0.000473,0.000456
36,0.001909,0.001756,0.001668,0.001488,0.001670,0.001596,0.001476,0.001550,0.001411,0.001282,0.001370,0.001370,0.001258,0.001364,0.001208,0.001100,0.001096,0.001239,0.001128,0.001147,0.001062,0.001195,0.001354,0.001104,0.001082,0.001150,0.001326,0.001252,0.001241,0.001200,0.001030,0.001063,0.001131,0.001361,0.001107,0.001088,0.000982,0.001005,0.000971,0.000951,0.000985,0.000917,0.000834,0.000845,0.000847,0.000671,0.000669,0.000763,0.000754,0.000615,0.000747,0.000691,0.000691,0.000635,0.000509,0.000529,0.000595,0.000549,0.000572,0.000620,0.000527
37,0.001927,0.001847,0.001759,0.001777,0.001695,0.001705,0.001661,0.001528,0.001469,0.001409,0.001339,0.001425,0.001347,0.001270,0.001282,0.001170,0.001166,0.001248,0.001251,0.001109,0.001205,0.001241,0.001264,0.001274,0.001214,0.001212,0.001301,0.001403,0.001231,0.001333,0.001210,0.001201,0.001192,0.001353,0.001188,0.001131,0.001165,0.001130,0.001059,0.001194,0.000979,0.001057,0.000857,0.000707,0.000908,0.000815,0.000643,0.000828,0.000836,0.000685,0.000641,0.000613,0.000737,0.000728,0.000664,0.000634,0.000676,0.000583,0.000654,0.000556,0.000620
38,0.002179,0.002122,0.002171,0.001822,0.001795,0.001875,0.001710,0.001666,0.001540,0.001765,0.001512,0.001607,0.001441,0.001467,0.001378,0.001385,0.001391,0.001350,0.001392,0.001318,0.001376,0.001279,0.001451,0.001372,0.001388,0.001385,0.001393,0.001335,0.001431,0.001340,0.001407,0.001385,0.001425,0.001471,0.001323,0.001259,0.001356,0.001242,0.001235,0.001193,0.001153,0.001163,0.000998,0.000909,0.000873,0.000860,0.000951,0.000849,0.000885,0.000868,0.000824,0.000875,0.000745,0.000794,0.000769,0.000710,0.000696,0.000660,0.000623,0.000687,0.000682
39,0.002025,0.002580,0.001907,0.002108,0.001863,0.002013,0.001901,0.001783,0.001736,0.001679,0.001753,0.001840,0.001520,0.001794,0.001518,0.001550,0.001592,0.001439,0.001517,0.001526,0.001708,0.001365,0.001547,0.001654,0.001331,0.001485,0.001545,0.001704,0.001661,0.001606,0.001554,0.001490,0.001644,0.001588,0.001538,0.001535,0.001406,0.001476,0.001295,0.001239,0.001321,0.001268,0.001291,0.001051,0.001021,0.001035,0.001031,0.001054,0.001009,0.000934,0.000891,0.000991,0.000816,0.000894,0.000765,0.000778,0.000781,0.000785,0.000714,0.000810,0.000770
40,0.002498,0.002275,0.002361,0.002316,0.002197,0.002280,0.001965,0.001894,0.001971,0.001811,0.001793,0.001882,0.001791,0.001666,0.001564,0.001643,0.001637,0.001665,0.001655,0.001710,0.001794,0.001520,0.001698,0.001790,0.001474,0.001513,0.001870,0.001767,0.001814,0.001762,0.001610,0.001842,0.001829,0.001939,0.001784,0.001599,0.001568,0.001616,0.001493,0.001434,0.001585,0.001525,0.001363,0.001268,0.001069,0.001110,0.000977,0.001071,0.001188,0.001101,0.001079,0.001063,0.001043,0.000998,0.000891,0.000857,0.000870,0.000877,0.000840,0.000831,0.000920
41,0.002447,0.002650,0.002308,0.002497,0.002177,0.002327,0.002079,0.001961,0.002109,0.001879,0.002111,0.001913,0.001969,0.002106,0.001931,0.001746,0.001934,0.001821,0.001850,0.001676,0.001719,0.001716,0.001942,0.001726,0.001826,0.001789,0.001792,0.002030,0.001820,0.001967,0.001905,0.001775,0.001926,0.001912,0.002106,0.001853,0.001738,0.001704,0.001858,0.001651,0.001615,0.001628,0.001416,0.001516,0.001336,0.001309,0.001227,0.001205,0.001289,0.001255,0.001242,0.001279,0.001069,0.001077,0.001129,0.000889,0.000873,0.000911,0.000917,0.000817,0.000842
42,0.002665,0.002589,0.002417,0.002230,0.002855,0.002388,0.002307,0.002422,0.002091,0.001913,0.002143,0.002006,0.002037,0.002092,0.002029,0.001859,0.001995,0.001705,0.002060,0.002073,0.001761,0.001898,0.001985,0.001986,0.001834,0.001990,0.001903,0.001970,0.002180,0.002033,0.002292,0.002154,0.002161,0.002304,0.002199,0.002165,0.002010,0.001870,0.001838,0.001867,0.001777,0.001826,0.001599,0.001558,0.001391,0.001376,0.001520,0.001392,0.001406,0.001405,0.001292,0.001249,0.001217,0.001208,0.001234,0.001159,0.001078,0.001048,0.000985,0.001110,0.000902
43,0.003163,0.002965,0.002612,0.002737,0.002470,0.003013,0.002490,0.002223,0.002384,0.002409,0.002169,0.002448,0.002309,0.002374,0.002282,0.002288,0.002081,0.001984,0.002203,0.002175,0.002222,0.002112,0.002264,0.002262,0.002126,0.002103,0.002134,0.002340,0.002235,0.002277,0.002196,0.002291,0.002269,0.002438,0.002436,0.002180,0.002363,0.002238,0.002122,0.002049,0.001998,0.001972,0.002013,0.001929,0.001714,0.001698,0.001736,0.001632,0.001610,0.001577,0.001572,0.001441,0.001355,0.001431,0.001343,0.001224,0.001283,0.001178,0.001072,0.001147,0.001087
